name,location_str,latitude,longitude,price,rating,cuisine,recommender,date,neighborhood
Le Moulin a Cafe,1439 York Ave,40.7697981,-73.95180429999999,$$,4.0,French,Daniela Galarza,2017-12-08,Upper East Side
Together,2325 65th St,40.6123,-73.9783,$,4.0,Japanese,Sonia Chopra,2017-12-08,Bensonhurst
Greek Kitchen,889 10th Ave,40.7697614,-73.9881055,$$,4.0,Greek,Robert Sietsema,2017-12-01,Columbus Circle
Risbo,701 Flatbush Ave,40.6560593,-73.9597273,$$,4.0,French,Robert Sietsema,2017-12-01,Prospect Lefferts Gardens
Cowgirl Hall of Fame,519 Hudson St,40.733805,-74.006488,$$,3.5,Southern,,2017-11-10,West Village
Hana Noodles,445 Albee Square West,40.6910201049104,-73.9833099022508,,3.5,Chinese,Serena Dai,2017-09-29,Downtown
Ice & Vice,221 East Broadway,40.71427,-73.98696,,4.0,Ice Cream & Frozen Yogurt,Patty Diez,2017-09-08,Lower East Side
Harper’s Bread House,271 Grand St,40.71771,-73.99303,,4.0,Bakeries,Robert Sietsema,2017-08-11,Lower East Side
The Crown,50 Bowery,40.715990000000005,-73.99683,$$$,3.5,Chinese,Serena Dai,2017-07-14,Chinatown
Hudson Café,628 Hudson St,40.738321,-74.005291,$$,3.5,Cafes,Robert Sietsema,2017-07-14,West Village
Narcissa,25 Cooper Sq,40.72784,-73.99091,$$,3.5,American (New),,2017-03-31,East Village
Yerba Buena,1 Perry St,40.736012972648,-74.000938784459,$$$,4.0,Latin American,,2017-03-23,Greenwich Village
Tori Shin,362 West 53rd St,40.764959999999995,-73.98721,$$$$,4.0,Japanese,Ryan Sutton,2017-03-17,Columbus Circle
Khe-yo,157 Duane St,40.716906,-74.008587,$$,4.0,Laotian,Sonia Chopra,2017-03-17,Tribeca
Turkiss,104 MacDougal St,40.7294,-74.00088000000001,$,3.5,Turkish,Robert Sietsema,2017-03-10,Greenwich Village
Atlantic Social,673 Atlantic Ave,40.683167700000006,-73.97342859999999,$$,3.0,Bars,Serena Dai,2017-03-10,Fort Greene
Miss Lily's,109 Avenue A,40.726019,-73.9837551,$$,4.0,Caribbean,Patty Diez,2017-03-10,East Village
Ichiran,374 Johnson Ave,40.707587,-73.93327099999999,$$,3.5,Ramen,Serena Dai,2017-03-02,Williamsburg
Manousheh,193 Bleecker St,40.7293499,-74.00134,$,4.5,Lebanese,Serena Dai,2017-02-24,Greenwich Village
Wu’s Wonton King,165 East Broadway,40.7139415501646,-73.9899386554248,$$,3.5,Cantonese,Serena Dai,2017-02-24,Lower East Side
Tekoa,264 Clinton St,40.6878973,-73.99575209999999,$$,4.0,Breakfast & Brunch,Madeline Muzzi,2017-02-24,Cobble Hill
